Question,Correct Answer,Guess,Similarity,Accuracy,Comments
What state shares its border with the most states?,Tennessee,tennessee,7,1,
What state shares its border with the most states?,Tennessee,texas,1,0,
What state shares its border with the most states?,Tennessee,tn,6,1,
What state shares its border with the most states?,Tennessee,uath,1,0,
What state shares its border with the most states?,Tennessee,west virginia,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,always will be,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,america,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,america is the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,america the beautiful,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,america the beutiful,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,america the great,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,america tiss the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,and blessed be,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,and want to,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,berlin,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,bless the usa,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,brlin,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,crazy about the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,deutchland the great,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,dont take away,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,down in the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,fight for the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,for its the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,from under the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,god bless amaeric,6,1,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,god bless ameeica,6,1,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,god bless america,7,1,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,god bless american,6,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,god bless the,5,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,god bless this,4,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,home of the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,home of the free,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,i am free,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,i belong in,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,i miss the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,i protect the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,i'll protect the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,i'm going home,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,i'm going to,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,i'm in the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,im leaving the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,in the beautiful,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,isnt it the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,its the most,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,john dupree,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,land that i,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,let freedom ring,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,life in the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,live in the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,living in the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,me a hammer,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,mother i love,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,my only home,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,oh for thee,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,oh great america,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,oh in the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,oh say can,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,on a mountain,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,praise the great,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,stand beside her,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,take me away,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,the emblem of,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,the great america,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,thee i sing,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,there is no,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,this is the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,this land,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,this little land,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,this may be,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,this strong land,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,to be in,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,united states of,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,usa is the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,waves of grain,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,we protect the,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,you and me,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune?,God bless America,you are the,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,apple,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,apple and banana,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,apple and pineapple,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,apple banana,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,apples and cherries,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,apples and oranges,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,apples apricots,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,banana and coconut,6,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,banana and mango,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,banana and papaya,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,banana and strawberry,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,banana coconut,6,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,banana orange,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,banana papaya,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bananas and coconut,6,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bananas and coconut,6,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bananas and coconuts,6,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bananas and grapes,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bananas and pineapple,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bananas cocnuts,6,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bananna,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bannana pear,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bannanas and coconut,6,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bannas and coconuts,6,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconit and pineapple,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and banana,7,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and bananas,7,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and banane,6,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and bananna,6,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and banasas,6,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and bannana,7,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and bannanas,6,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and mango,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and pineapple,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut banana,7,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut berry,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut mango,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut papaya,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut pinapple,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut pineapple,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconuts,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconuts and banana,7,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconuts and bananas,7,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconuts and kiwi,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconuts and pineapple,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconuts bananas,7,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconuts bannana,6,1,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,dates grapes,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,dragonfruit,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,fig and apple,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,grapes and cherries,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,grapes blueberries,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,kiwi,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,kiwi and pineapple,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,mango and star fruit,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,mango pineapple,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,mangos and pineapple,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,melon pineapple,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,papaya and banana,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,papaya and pitaya,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,passion and kumquat,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and apple,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and apples,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and banana,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and cherries,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and coconut,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and cocunut,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and date,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and dates,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and grapes,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and guava,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and kiwi,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and kwii,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and mango,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and papaya,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and passion fruit,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and peach,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and peaches,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and watermelon,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple banana,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple coconut,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple kiwi,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple mango,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple orange,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple pear,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple pears,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapples,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapples and bananas,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapples and kiwis,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapples and mango,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapples and oranges,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapples bananas,4,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,starfruit kiwi,1,0,
What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,tomato and strawberry,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,abbrasives,6,1,
What type of material constitutes at least half of all toothpastes?,Abrasives,abraisives,7,1,
What type of material constitutes at least half of all toothpastes?,Abrasives,abrasaives,6,1,
What type of material constitutes at least half of all toothpastes?,Abrasives,abrasive,7,1,
What type of material constitutes at least half of all toothpastes?,Abrasives,abrasive materials,7,1,
What type of material constitutes at least half of all toothpastes?,Abrasives,abrasives,7,1,
What type of material constitutes at least half of all toothpastes?,Abrasives,abrassives,6,1,
What type of material constitutes at least half of all toothpastes?,Abrasives,adhesives,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,altoid,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,argena,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,aritaves,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,arsenic,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,baking soda,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,baking soda.,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,calciu,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,calcium,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,calcium carbonate,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,carbon,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,chalk,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,chloride,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,clay,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,coal,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,colgetae,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,filaments,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,floride,4,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,flouride,4,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,fluoride,4,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,fluorine,4,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,fluroide,4,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,foaming agents,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,gel,3,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,gelatin,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,glue,3,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,glyceride,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,glycerin,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,grit,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,guar gum,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,gum,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,mint,2,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,not sure,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,paste,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,peroxide,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,plastic,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,pumice,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,sand,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,sawdust,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,sea creatures,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,silica,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,silicon,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,sodium chloride,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,some form of dissolvable plastic,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,sucrose,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,the paste,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,water,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,wood,1,0,
What type of material constitutes at least half of all toothpastes?,Abrasives,xantham gum,2,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,abraham lincoln,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,adams,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,agnew,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,alexander hamilton,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,andrew jackson,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,benjamin franklin,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,chester arthur,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,cleveland,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,clevland,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,clinton,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,coburn,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,cooledge,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,coolidge,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,eisenhower,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,fdr,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,franklin,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,franklin d roosevelt,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,franklin delano roosevelt,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,franklin rooseveldt,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,garfield,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,george washington,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,grant,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,grover,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,grover cleavland,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,grover cleveland,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,hamilton,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,hoover,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,isenhower,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,jackson,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,james garfield,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,james jackson,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,james madison,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,james monroe,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,jefferson,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,jfk,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,john adams,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,john f kennedy,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,john kennedy,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,john quincy adams,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,johnson,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,jonhson,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,kennedy,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,lincoln,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,lyndon b johnson,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,lyndon johnson,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,mckinney,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,monroe,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,nixon,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,not sure,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,obama,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,reagan,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,rick ross,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,roosevelt,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,skip,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,taft,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,theodore roosevelt,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,thomas edison,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,thomas jefferson,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,truman,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,washington,1,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,wildrow wilson,6,1,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,wilford woodrow,6,0,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,wilson,7,1,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,woodrow,6,1,
"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,woodrow wilson,7,1,
What US coin weighs five grams?,Nickel,50 cent piece,1,0,
What US coin weighs five grams?,Nickel,dime,1,0,
What US coin weighs five grams?,Nickel,dimes,1,0,
What US coin weighs five grams?,Nickel,dollar,1,0,
What US coin weighs five grams?,Nickel,dollar coin,1,0,
What US coin weighs five grams?,Nickel,fifty cent piece,1,0,
What US coin weighs five grams?,Nickel,five gram quarter,1,0,
What US coin weighs five grams?,Nickel,half dollar,1,0,
What US coin weighs five grams?,Nickel,nicek,6,0,
What US coin weighs five grams?,Nickel,nichol,6,1,
What US coin weighs five grams?,Nickel,nickel,7,1,
What US coin weighs five grams?,Nickel,nickle,6,1,
What US coin weighs five grams?,Nickel,nikel,6,1,
What US coin weighs five grams?,Nickel,nivckel,6,1,
What US coin weighs five grams?,Nickel,penny,1,0,
What US coin weighs five grams?,Nickel,quarter,1,0,
What US coin weighs five grams?,Nickel,silver dollar,1,0,
What US coin weighs five grams?,Nickel,the half dollar,1,0,
What US president died 79 days after being shot?,James Garfield,abe lincoln,4,0,
What US president died 79 days after being shot?,James Garfield,abraham lincoln,4,0,
What US president died 79 days after being shot?,James Garfield,abraham lincon,4,0,
What US president died 79 days after being shot?,James Garfield,adams,1,0,
What US president died 79 days after being shot?,James Garfield,andrew garfield,1,0,
What US president died 79 days after being shot?,James Garfield,andrew jackson,1,0,
What US president died 79 days after being shot?,James Garfield,andrew johnson,1,0,
What US president died 79 days after being shot?,James Garfield,carter,1,0,
What US president died 79 days after being shot?,James Garfield,cleveland,1,0,
What US president died 79 days after being shot?,James Garfield,coolidge,1,0,
What US president died 79 days after being shot?,James Garfield,fdr,4,0,
What US president died 79 days after being shot?,James Garfield,garfield,7,1,
What US president died 79 days after being shot?,James Garfield,gary,1,0,
What US president died 79 days after being shot?,James Garfield,gordan granfield,6,0,
What US president died 79 days after being shot?,James Garfield,grag,1,0,
What US president died 79 days after being shot?,James Garfield,graham,1,0,
What US president died 79 days after being shot?,James Garfield,grant,1,0,
What US president died 79 days after being shot?,James Garfield,grover cleveland,1,0,
What US president died 79 days after being shot?,James Garfield,hamilton,1,0,
What US president died 79 days after being shot?,James Garfield,harrison,1,0,
What US president died 79 days after being shot?,James Garfield,howard,1,0,
What US president died 79 days after being shot?,James Garfield,jackson,1,0,
What US president died 79 days after being shot?,James Garfield,james garfield,7,1,
What US president died 79 days after being shot?,James Garfield,james garfiels,6,1,
What US president died 79 days after being shot?,James Garfield,james jackson,1,0,
What US president died 79 days after being shot?,James Garfield,jfk,4,0,
What US president died 79 days after being shot?,James Garfield,jimmy carter,1,0,
What US president died 79 days after being shot?,James Garfield,john f kendey,4,0,
What US president died 79 days after being shot?,James Garfield,john f kennedy,4,0,
What US president died 79 days after being shot?,James Garfield,johnson,1,0,
What US president died 79 days after being shot?,James Garfield,kennedy,4,0,
What US president died 79 days after being shot?,James Garfield,lincoln,4,0,
What US president died 79 days after being shot?,James Garfield,lincon,4,0,
