mergecolumn,Question,Correct Answer,Guess,Similarity,Accuracy,Comments
What US coin weighs five grams? dollar,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,banana coconut,7,1,
What was the first war in which one jet plane shot down another? gulf war,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,banana orange,5,0,
Who invented the steamboat Clermont? samuel clemens,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,banana papaya,5,0,
On which ship did President Nixon welcome the astronauts back from the Moon? uss patriot,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bananas and coconut,7,1,
Who was first to publish the theory that the Earth revolves around the sun? coppernicus,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bananas and coconut,7,1,
What is rocker Darius Rucker's stage name? hoopie,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bananas and coconuts,7,1,
What is the name of the composer who wrote Don Giovanni? motzart,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bananas and grapes,5,0,
What is the ninth most poisonous animal in the world? poison-dart frog,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bananas and pineapple,5,0,
What cartoonist has had three insect species named after him? george lanz,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bananas cocnuts,7,1,
What Pakistani was the first head of state in the 20th century to give birth in office? benazir bhutto,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bananna,5,0,
What president had to read a news ticker to discover that his daughter Luci was engaged? linden johnson,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bannana pear,5,0,
Which hit-making band featured Andy Summers and Stewart Copeland? rolling stones,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bannanas and coconut,7,1,
What was the B-17 long-range bomber nicknamed in World War II? flying fortess,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,bannas and coconuts,7,1,
Who collaborated with Michael Bolton on Bolton's 'Steel Bars' hit? bono,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconit and pineapple,5,0,
In what city was the movie 'Leprechaun' shot? dallas,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut,5,0,
What is the name of the goldfish in 'Pinocchio'? finn,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and,5,0,
On which ship did President Nixon welcome the astronauts back from the Moon? apollo 8,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and banana,7,1,
What is the state flower of North Dakota? blue coronet,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and bananas,7,1,
"Along with chitin, what strengthens the exoskeleton of bugs? karatin",What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and banane,7,1,
What Pakistani was the first head of state in the 20th century to give birth in office? stan,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and bananna,7,1,
Who hosted the 1994 MTV Movie awards? howard stern,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and banasas,7,1,
What cartoonist has had three insect species named after him? stan lee,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and bannana,7,1,
Who appeared on the cover of 'Seventeen' Magazine before selling over 11 million copies of her debut album? tiffany,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and bannanas,7,1,
What cartoon character did Walter Lantz create? beatle baily,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and mango,5,0,
What do birds rely on to swallow? food,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut and pineapple,5,0,
What chemical compound comes from the Greek word for 'primary'? salt,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut banana,7,1,
What is rocker Darius Rucker's stage name? hootie and the blowfish,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut berry,5,0,
Who was stuck in the spacecraft while Neil Armstrong and Buzz Aldrin moon-walked? carl malden,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut mango,5,0,
Whose theme song was 'Where the Blue of the night Meets the Gold of the Day'? moonlighting,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut papaya,5,0,
Whose 1991 autobiography was called 'And The Beat Goes On'? irving berlin,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut pinapple,5,0,
What is the most common cactus? cactus 1,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconut pineapple,5,0,
What song did both Ronald Reagan and Walter Mondale quote in the 1984 presidential campaign? morning in america,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconuts,5,0,
What writer's last words were: 'Last words are for fools who haven't said enough'? not hemmingway,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconuts and banana,7,1,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed? mercury,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconuts and bananas,7,1,
What US coin weighs five grams? five gram quarter,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconuts and kiwi,5,0,
What is the ninth most poisonous animal in the world? platypus,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconuts and pineapple,5,0,
Where was Seth MacFarlane born? hospital,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconuts bananas,7,1,
Who was the first solo female host of the Academy Awards Ceremony? ayn rand,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,coconuts bannana,7,1,
In what game are the standard pieces of Staunton design? go,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,dates grapes,1,0,
What is 'Turdus migratorius' better known as? floating eye disease,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,dragonfruit,1,0,
What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910? fibrogram,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,fig and apple,1,0,
The forint is the monetary unit of what central European country? luxembourg,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,grapes and cherries,1,0,
What vice president was accused of being drunk when sworn in? dan quail,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,grapes blueberries,1,0,
What two fruits were Hawaiian women once forbidden by law to eat? pineapple kiwi,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,kiwi,1,0,
"What U.S. president's face graces a $100,000 bill? fdr",What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,kiwi and pineapple,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi? ava peron,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,mango and star fruit,1,0,
What song took over No. 1 from Whitney Houston's 'I Will Always Love You'? anything i do,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,mango pineapple,1,0,
In what city was the movie 'Leprechaun' shot? philidelphia,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,mangos and pineapple,1,0,
Who wrote the song 'I Love Paris'? irving berlin,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,melon pineapple,1,0,
What's the name of the main airport in Madrid? madrid university airport,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,papaya and banana,5,0,
What inscription on US coins did Theodore Roosevelt try in vain to have removed? e plurbis unim,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,papaya and pitaya,1,0,
What president had to read a news ticker to discover that his daughter Luci was engaged? calvin coolige,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,passion and kumquat,1,0,
What Polish political movement got the support of Pope John Paul II in the 1980s? the women,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple,1,0,
What type of material constitutes at least half of all toothpastes? the paste,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and apple,1,0,
"What nation's 90-man army is the world's oldest, dating back to 1506? new zealand",What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and apples,1,0,
What is the genus of the seahorse? aqua equinus,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and banana,5,0,
Who collaborated with Michael Bolton on Bolton's 'Steel Bars' hit? dan barry,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and cherries,1,0,
What is Mark Twain's real name? samuel longhorn clemens,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and coconut,5,0,
What is 10% of the salt mined in the world used for in America? potato chips,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and cocunut,5,0,
What was the name of the lunar module that landed the first man on the moon? rover 1,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and date,1,0,
What is the name of the largest ocean on Earth? arctic,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and dates,1,0,
What was actor Lon Chaney also known by? lon chaney sr,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and grapes,1,0,
What was the first physician to record case histories of patients? tomas mutter,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and guava,1,0,
What was the B-17 long-range bomber nicknamed in World War II? bunker buster,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and kiwi,1,0,
Which horse was Horse of the Year from 1960 to 1964? seabisquet,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and kwii,1,0,
Who invented the steamboat Clermont? watt,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and mango,1,0,
On which ship did President Nixon welcome the astronauts back from the Moon? seagull,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and papaya,1,0,
What is the state flower of North Dakota? blue mountain,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and passion fruit,1,0,
What Pakistani was the first head of state in the 20th century to give birth in office? mars frump,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and peach,1,0,
Who was stuck in the spacecraft while Neil Armstrong and Buzz Aldrin moon-walked? gary stary,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and peaches,1,0,
Whose theme song was 'Where the Blue of the night Meets the Gold of the Day'? bob hope,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple and watermelon,1,0,
In which Ohio city was the 1995 Bosnian peace accord signed in? daton,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple banana,5,0,
Who was the first solo female host of the Academy Awards Ceremony? woopi goldberg,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple coconut,5,0,
What is 'Turdus migratorius' better known as? some bird,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple kiwi,1,0,
What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910? tungsten or wolfram,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple mango,1,0,
The forint is the monetary unit of what central European country? turkey,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple orange,1,0,
What vice president was accused of being drunk when sworn in? andrew jonson,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple pear,1,0,
What is the most commonly known tryptamine? gasoline,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapple pears,1,0,
What two fruits were Hawaiian women once forbidden by law to eat? coconuts bannana,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapples,1,0,
In what city was the movie 'Leprechaun' shot? san dolon,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapples and bananas,5,0,
What's the name of the main airport in Madrid? saluspo,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapples and kiwis,1,0,
What Polish political movement got the support of Pope John Paul II in the 1980s? movement,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapples and mango,1,0,
What is the genus of the seahorse? aquas eqqainus,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapples and oranges,1,0,
What is 10% of the salt mined in the world used for in America? salt highways,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,pineapples bananas,5,0,
From what were jack-o-lanterns originally carved? rutabaga,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,starfruit kiwi,1,0,
What was the first physician to record case histories of patients? hypocrisies,What two fruits were Hawaiian women once forbidden by law to eat?,Coconut and banana,tomato and strawberry,1,0,
Who invented the steamboat Clermont? i did,What type of material constitutes at least half of all toothpastes?,Abrasives,abbrasives,7,1,
Yapping Deng was a world champion in which sport? ice skating,What type of material constitutes at least half of all toothpastes?,Abrasives,abraisives,7,1,
What is the name of the goldfish in 'Pinocchio'? clarence,What type of material constitutes at least half of all toothpastes?,Abrasives,abrasaives,7,1,
What was the B-17 long-range bomber nicknamed in World War II? stealth bomber,What type of material constitutes at least half of all toothpastes?,Abrasives,abrasive,7,1,
Who hosted the 1994 MTV Movie awards? pauly shore,What type of material constitutes at least half of all toothpastes?,Abrasives,abrasive materials,7,1,
Whose 1991 autobiography was called 'And The Beat Goes On'? billie joel,What type of material constitutes at least half of all toothpastes?,Abrasives,abrasives,7,1,
What is the middle item the Cat in the Hat eventually balances in his left hand? fish,What type of material constitutes at least half of all toothpastes?,Abrasives,abrassives,7,1,
What song took over No. 1 from Whitney Houston's 'I Will Always Love You'? one sweet day,What type of material constitutes at least half of all toothpastes?,Abrasives,adhesives,7,1,
"What U.S. president's face graces a $100,000 bill? monroe",What type of material constitutes at least half of all toothpastes?,Abrasives,altoid,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune? you and me,What type of material constitutes at least half of all toothpastes?,Abrasives,argena,1,0,
What was the first physician to record case histories of patients? ledger,What type of material constitutes at least half of all toothpastes?,Abrasives,aritaves,1,0,
What fraternity was George W. Bush in? american boys,What type of material constitutes at least half of all toothpastes?,Abrasives,arsenic,1,0,
Which hit-making band featured Andy Summers and Stewart Copeland? daft punk,What type of material constitutes at least half of all toothpastes?,Abrasives,baking soda,3,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi? mother theresa,What type of material constitutes at least half of all toothpastes?,Abrasives,baking soda.,3,0,
What vice president was accused of being drunk when sworn in? reagan,What type of material constitutes at least half of all toothpastes?,Abrasives,calciu,3,0,
Who was the first solo female host of the Academy Awards Ceremony? carol burnett,What type of material constitutes at least half of all toothpastes?,Abrasives,calcium,3,0,
Who was first to publish the theory that the Earth revolves around the sun? archimedes,What type of material constitutes at least half of all toothpastes?,Abrasives,calcium carbonate,7,1,
Whose theme song was 'Where the Blue of the night Meets the Gold of the Day'? batman,What type of material constitutes at least half of all toothpastes?,Abrasives,carbon,1,0,
What was the poison used at Socrates' execution? rat,What type of material constitutes at least half of all toothpastes?,Abrasives,chalk,1,0,
What is the genus of the seahorse? mollusk,What type of material constitutes at least half of all toothpastes?,Abrasives,chloride,1,0,
What writer's last words were: 'Last words are for fools who haven't said enough'? orwell,What type of material constitutes at least half of all toothpastes?,Abrasives,clay,1,0,
What was actor Lon Chaney also known by? tom,What type of material constitutes at least half of all toothpastes?,Abrasives,coal,1,0,
What British group got its name from the title of a 1950 Muddy Waters song? rudeboys,What type of material constitutes at least half of all toothpastes?,Abrasives,colgetae,1,0,
On which ship did President Nixon welcome the astronauts back from the Moon? manhattan,What type of material constitutes at least half of all toothpastes?,Abrasives,filaments,1,0,
Which horse was Horse of the Year from 1960 to 1964? precious,What type of material constitutes at least half of all toothpastes?,Abrasives,floride,3,0,
What is the most common cactus? the tall ones,What type of material constitutes at least half of all toothpastes?,Abrasives,flouride,3,0,
What is the state flower of North Dakota? dandelion,What type of material constitutes at least half of all toothpastes?,Abrasives,fluoride,3,0,
What Polish political movement got the support of Pope John Paul II in the 1980s? exodus,What type of material constitutes at least half of all toothpastes?,Abrasives,fluorine,1,0,
What chemical compound comes from the Greek word for 'primary'? gas,What type of material constitutes at least half of all toothpastes?,Abrasives,fluroide,3,0,
What did Jonas Salk invent? socks,What type of material constitutes at least half of all toothpastes?,Abrasives,foaming agents,2,0,
What's the name of the main airport in Madrid? el aeroporte,What type of material constitutes at least half of all toothpastes?,Abrasives,gel,2,0,
What was the name of the ship on which Charles Darwin made his scientific voyage? maria,What type of material constitutes at least half of all toothpastes?,Abrasives,gelatin,2,0,
What do birds rely on to swallow? diaphragm,What type of material constitutes at least half of all toothpastes?,Abrasives,glue,1,0,
What sport uses stones and brooms? poor hockey,What type of material constitutes at least half of all toothpastes?,Abrasives,glyceride,1,0,
What body part is low-density lipoprotein most likely to clog? nose,What type of material constitutes at least half of all toothpastes?,Abrasives,glycerin,1,0,
Who was stuck in the spacecraft while Neil Armstrong and Buzz Aldrin moon-walked? george,What type of material constitutes at least half of all toothpastes?,Abrasives,grit,1,0,
What Pakistani was the first head of state in the 20th century to give birth in office? bin laden,What type of material constitutes at least half of all toothpastes?,Abrasives,guar gum,1,0,
Who was the first democratically elected president of Russia? yeltzin,What type of material constitutes at least half of all toothpastes?,Abrasives,gum,1,0,
Who invented the steamboat Clermont? willy,What type of material constitutes at least half of all toothpastes?,Abrasives,mint,1,0,
What song did both Ronald Reagan and Walter Mondale quote in the 1984 presidential campaign? born in america,What type of material constitutes at least half of all toothpastes?,Abrasives,not sure,1,0,
Yapping Deng was a world champion in which sport? table top tennis,What type of material constitutes at least half of all toothpastes?,Abrasives,paste,2,0,
What was the B-17 long-range bomber nicknamed in World War II? total destruction,What type of material constitutes at least half of all toothpastes?,Abrasives,peroxide,2,0,
What state shares its border with the most states? tenneesee,What type of material constitutes at least half of all toothpastes?,Abrasives,plastic,1,0,
Whose 1991 autobiography was called 'And The Beat Goes On'? tommy,What type of material constitutes at least half of all toothpastes?,Abrasives,pumice,1,0,
What fraternity was George W. Bush in? dke,What type of material constitutes at least half of all toothpastes?,Abrasives,sand,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi? posie,What type of material constitutes at least half of all toothpastes?,Abrasives,sawdust,1,0,
Whose theme song was 'Where the Blue of the night Meets the Gold of the Day'? peter pan,What type of material constitutes at least half of all toothpastes?,Abrasives,sea creatures,1,0,
What leader said in 1942 'Never before have we had so little time in which to do so much'? bush,What type of material constitutes at least half of all toothpastes?,Abrasives,silica,1,0,
What is the genus of the seahorse? hippomagus,What type of material constitutes at least half of all toothpastes?,Abrasives,silicon,1,0,
What was actor Lon Chaney also known by? the man of the moon,What type of material constitutes at least half of all toothpastes?,Abrasives,sodium chloride,1,0,
On which ship did President Nixon welcome the astronauts back from the Moon? viper,What type of material constitutes at least half of all toothpastes?,Abrasives,some form of dissolvable plastic,1,0,
Who invented the radio? gillespie,What type of material constitutes at least half of all toothpastes?,Abrasives,sucrose,1,0,
Which horse was Horse of the Year from 1960 to 1964? penny,What type of material constitutes at least half of all toothpastes?,Abrasives,the paste,2,0,
What did Jonas Salk invent? not socks,What type of material constitutes at least half of all toothpastes?,Abrasives,water,1,0,
What's the name of the main airport in Madrid? bagajas,What type of material constitutes at least half of all toothpastes?,Abrasives,wood,1,0,
What cartoonist has had three insect species named after him? gary wells,What type of material constitutes at least half of all toothpastes?,Abrasives,xantham gum,1,0,
What Pakistani was the first head of state in the 20th century to give birth in office? arafat,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,abraham lincoln,5,0,
Who invented the steamboat Clermont? kenny loggins,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,adams,2,0,
What is the most shoplifted book? steeal this book by abbie hoffman,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,agnew,1,0,
Which horse was Horse of the Year from 1960 to 1964? man of war,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,alexander hamilton,1,0,
The forint is the monetary unit of what central European country? czechoslovakia,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,andrew jackson,5,0,
What is the name of the goldfish in 'Pinocchio'? guilio,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,benjamin franklin,1,0,
What song took over No. 1 from Whitney Houston's 'I Will Always Love You'? jolene,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,chester arthur,2,0,
Who was president of the US when Uncle Sam first got a beard? martin van buren,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,cleveland,5,0,
What fraternity was George W. Bush in? phi beta kappa,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,clevland,5,0,
What is the genus of the seahorse? fishus,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,clinton,2,0,
Who collaborated with Michael Bolton on Bolton's 'Steel Bars' hit? madonna,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,coburn,1,0,
What was actor Lon Chaney also known by? man of one thousand masks,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,cooledge,2,0,
Who was stuck in the spacecraft while Neil Armstrong and Buzz Aldrin moon-walked? al shepard,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,coolidge,2,0,
What is rocker Darius Rucker's stage name? rocky,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,eisenhower,2,0,
Who invented the radio? marconu,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,fdr,2,0,
Which beverage company featured the hit 'Like A Prayer' in its advertisement? pepsi-cola,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,franklin,2,0,
What is the most common cactus? man shaped one,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,franklin d roosevelt,2,0,
"In horse racing, in which city is the Japan Cup held? lexington","What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,franklin delano roosevelt,2,0,
What chemical compound comes from the Greek word for 'primary'? primo,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,franklin rooseveldt,2,0,
What cartoon character did Walter Lantz create? tweedy bird,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,garfield,2,0,
What vice president was accused of being drunk when sworn in? grant,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,george washington,5,0,
"Along with chitin, what strengthens the exoskeleton of bugs? actin","What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,grant,5,0,
What was the name of the first probe to send back pictures from Mars? voayager,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,grover,5,0,
What is 10% of the salt mined in the world used for in America? preserving food,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,grover cleavland,5,0,
What two fruits were Hawaiian women once forbidden by law to eat? coconut papaya,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,grover cleveland,5,0,
On which ship did President Nixon welcome the astronauts back from the Moon? us one,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,hamilton,1,0,
What is the most commonly known tryptamine? benadryl,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,hoover,2,0,
Who is the voice of Gary the snail on Spongebob Squarepants? kirsten dunst,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,isenhower,2,0,
Whose theme song was 'Where the Blue of the night Meets the Gold of the Day'? miles davis,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,jackson,5,0,
What is 'Turdus migratorius' better known as? high tide,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,james garfield,2,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi? frida kahlo,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,james jackson,1,0,
What Polish political movement got the support of Pope John Paul II in the 1980s? independence,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,james madison,2,0,
Who wrote the song 'I Love Paris'? mel brooks,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,james monroe,1,0,
Who invented the steamboat Clermont? edison,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,jefferson,5,0,
What song did both Ronald Reagan and Walter Mondale quote in the 1984 presidential campaign? things are coming up roses,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,jfk,2,0,
What US president died 79 days after being shot? tyler,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,john adams,2,0,
From what were jack-o-lanterns originally carved? usa,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,john f kennedy,2,0,
What was the B-17 long-range bomber nicknamed in World War II? sonny boy,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,john kennedy,2,0,
What state shares its border with the most states? ct,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,john quincy adams,2,0,
What Internet search utility was named after the mascot of the University of Minnesota? jeeves,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,johnson,2,0,
Where was Seth MacFarlane born? nebraska,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,jonhson,2,0,
What song took over No. 1 from Whitney Houston's 'I Will Always Love You'? world something,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,kennedy,2,0,
What fraternity was George W. Bush in? something kappa something,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,lincoln,5,0,
What type of material constitutes at least half of all toothpastes? abrasive,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,lyndon b johnson,2,0,
What is the most commonly known tryptamine? seritonin,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,lyndon johnson,2,0,
Who is the voice of Gary the snail on Spongebob Squarepants? tim some guy,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,mckinney,1,0,
In what city was the movie 'Leprechaun' shot? somewhere in ca,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,monroe,2,0,
What state shares its border with the most states? tn,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,nixon,2,0,
Where was Seth MacFarlane born? nevada usa,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,not sure,1,0,
In what city is Texas State University? texas,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,obama,2,0,
Who invented the radio? albert einstein,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,reagan,2,0,
Whose theme song was 'Where the Blue of the night Meets the Gold of the Day'? texas,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,rick ross,1,0,
Who was the first country artist to sell over 10 million copies of an album? willie nelson,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,roosevelt,2,0,
What president had to read a news ticker to discover that his daughter Luci was engaged? reagan,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,skip,1,0,
What was the name of the ship on which Charles Darwin made his scientific voyage? anna marie,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,taft,2,0,
What song did both Ronald Reagan and Walter Mondale quote in the 1984 presidential campaign? can't stop,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,theodore roosevelt,2,0,
What is Mark Twain's real name? huckleberry finn,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,thomas edison,1,0,
Who wrote the Star Spangled Banner? benjamin banniker,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,thomas jefferson,2,0,
What Pakistani was the first head of state in the 20th century to give birth in office? ahmad leontae,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,truman,2,0,
What song took over No. 1 from Whitney Houston's 'I Will Always Love You'? its my prerogative,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,washington,5,0,
What food is the leading source of salmonella poisoning? meat,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,wildrow wilson,7,1,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi? marie antoinette,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,wilford woodrow,5,0,
What was the B-17 long-range bomber nicknamed in World War II? brown bomber,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,wilson,7,1,
Who is the voice of Gary the snail on Spongebob Squarepants? gary payton,"What U.S. president's face graces a $100,000 bill?",Woodrow Wilson,woodrow,7,1,
